,No,State,Constituency,Candidate Name,Party,No of Criminal Cases,lat,lon
343,344,Tamil Nadu,Mayiladuthurai,Ramalingam. S,DMK,0,11.1018614,79.6503162
344,345,Odisha,Mayurbhanj,Bishweswar Tudu,BJP,1,21.75,86.5
345,346,Telangana,Medak,Kotha Prabhakar Reddy,TRS,0,18.0458792,78.2651993
346,347,West Bengal,Medinipur,Dilip Ghosh,BJP,14,22.690008050000003,87.3804709155819
347,348,Uttar Pradesh,Meerut,Rajendra Agrawal,BJP,3,28.9963296,77.7061915
348,349,Uttar Pradesh,Mirzapur,Anupriya Singh Patel,ADS,2,25.101047700000002,82.62574935763521
349,350,Uttar Pradesh,Misrikh,Ashok Kumar Rawat,BJP,0,27.4326561,80.5315179
350,351,Mizoram,Mizoram,C Lalrosanga,MNF,0,23.2146169,92.8687612
351,352,Uttar Pradesh,Mohanlalganj,Kaushal Kishore,BJP,1,26.680635,80.9830834
352,353,Uttar Pradesh,Moradabad,Dr. S.t. Hasan,SP,0,28.8334982,78.7732864
353,354,Madhya Pradesh,Morena,Narendra Singh Tomar,BJP,1,-22.382338,-41.776493
354,355,Maharashtra,Mumbai North,Gopal Shetty,BJP,9,18.9387711,72.8353355
355,356,Maharashtra,Mumbai North Central,Poonam Mahajan,BJP,2,19.0722,72.8634
356,357,Maharashtra,Mumbai North East,Manoj Kotak,BJP,2,18.9387711,72.8353355
357,358,Maharashtra,Mumbai North West,Gajanan Kirtikar,SHS,0,18.9387711,72.8353355
358,359,Maharashtra,Mumbai South,Arvind Ganpat Sawant,SHS,1,18.9387711,72.8353355
359,360,Maharashtra,Mumbai South Central,Rahul Ramesh Shewale,SHS,0,19.0307,72.9106
360,361,Bihar,Munger,Rajiv Ranjan Singh,JD(U),1,25.38696305,86.49981753704246
361,362,West Bengal,Murshidabad,Abu Taher Khan,AITC,3,24.1745993,88.2721335
362,363,Uttar Pradesh,Muzaffarnagar,Sanjeev Kumar Balyan,BJP,1,29.5417823,77.64301122067675
363,364,Bihar,Muzaffarpur,Ajay Nishad,BJP,1,26.1667052,85.4166314
364,365,Karnataka,Mysore,Prathap Simha,BJP,3,12.23056405,76.65252160248227
365,366,Odisha,Nabarangpur,Ramesh Chandra Majhi,BJD,0,19.228896,82.5665715
366,367,Nagaland,Nagaland,Tokheho Yepthomi,NDPP,0,26.1630556,94.5884911
367,368,Tamil Nadu,Nagapattinam,Selvaraj M,CPI,0,10.805627600000001,79.824659783024
368,369,Telangana,Nagarkurnool,Pothuganti Ramulu,TRS,0,16.4870296,78.3169003
369,370,Rajasthan,Nagaur,Hanuman Beniwal,RLP,0,27.0237969,74.2037201
370,371,Uttar Pradesh,Nagina,Girish Chandra,BSP,1,29.4407679,78.4299763
371,372,Maharashtra,Nagpur,Nitin Jairam Gadkari,BJP,4,21.1498134,79.0820556
372,373,Uttarakhand,Nainital-udhamsingh Nagar,Ajay Bhatt,BJP,0,28.961,79.5154
373,374,Bihar,Nalanda,Kaushlendra Kumar,JD(U),0,25.1364914,85.44365464855682
374,375,Telangana,Nalgonda,Uttam Kumar Reddy Nalamada,INC,4,17.0504406,79.2669235
375,376,Tamil Nadu,Namakkal,Chinraj A.k.p,DMK,0,11.2191319,78.23739801779963
376,377,Maharashtra,Nanded,Prataprao Patil Chikhalikar,BJP,0,19.17257215,77.29141237169956
377,378,Maharashtra,Nandurbar,Dr. Heena Vijaykumar Gavit,BJP,0,21.3738085,74.2445558
378,379,Andhra Pradesh,Nandyal,Pocha . Brahmananda Reddy,YSRCP,1,15.4736293,78.4806592
379,380,Andhra Pradesh,Narasaraopet,Lavu Sri Krishna Devarayalu,YSRCP,0,16.2389242,80.0472879
380,381,Andhra Pradesh,Narsapuram,Kanumuru Raghu Rama Krishna Raju,YSRCP,3,16.8131245,81.7285837
381,382,Maharashtra,Nashik,Godse Hemant Tukaram,SHS,1,20.0112475,73.7902364
382,383,Gujarat,Navsari,C. R. Patil,BJP,1,20.952407,72.9323831
383,384,Bihar,Nawada,Chandan Singh,LJNSP,2,24.75,85.5
384,385,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,YSRCP,0,14.4493717,79.9873763
385,386,Delhi,New Delhi,Meenakashi Lekhi,BJP,0,28.6425394,77.2208372
386,387,Tamil Nadu,Nilgiris,"Raja, A.",DMK,6,11.4,76.7
387,388,Telangana,Nizamabad,Arvind Dharmapuri,BJP,1,18.6732693,78.0978477
388,389,Delhi,North East Delhi,Gautam Gambhir,BJP,3,28.72330795,77.26685650778668
389,390,Goa,North Goa,Shripad Yesso Naik,BJP,0,15.60444125,74.00172406307475
390,391,Delhi,North West Delhi,Hans Raj Hans,BJP,0,28.6138954,77.2090057
391,392,Assam,Nowgong,Pradyut Bordoloi,INC,0,25.0632203,79.4402881
392,393,Andhra Pradesh,Ongole,Magunta Sreenivasulu Reddy,YSRCP,0,15.5058714,80.0499454
393,394,Maharashtra,Osmanabad,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,SHS,4,18.218700849999998,76.1227731600888
394,395,Manipur,Outer Manipur,Lorho S. Pfoze,NPF,0,24.2994,93.2584
395,396,Kerala,Palakkad,V K Sreekandan,INC,7,10.7691989,76.6512469
396,397,Jharkhand,Palamau,Vishnu Dayal Ram,BJP,0,23.68172835,84.13918441697847
397,398,Maharashtra,Palghar,Rajendra Dhedya Gavit,SHS,0,19.68086385,72.82537342511341
398,399,Rajasthan,Pali,P. P. Chaudhary,BJP,0,25.75,73.5
399,400,Gujarat,Panchmahal,Ratansinh Magansinh Rathod,BJP,0,28.6271026,77.31016493548915
400,401,Maharashtra,Parbhani,Jadhav Sanjay (bandu) Haribhau,SHS,6,19.2447104,76.77608400183904
401,402,Bihar,Paschim Champaran,Dr. Sanjay Jaiswal,BJP,5,26.7967626,84.5007513
402,403,Bihar,Pataliputra,Ram Kripal Yadav,BJP,0,13.2780619,78.0427444
403,404,Gujarat,Patan,Dabhi Bharatsinhji Shankarji,BJP,0,29.4657876,80.5459567
404,405,Kerala,Pathanamthitta,Anto Antony,INC,1,9.2655337,76.7871514
405,406,Punjab,Patiala,Preneet Kaur,INC,0,30.3295605,76.4127819
